t A E T
5960.0 -5.667968286983166e-05 -0.00010507821785243096 -2.746528413646041e-08
5970.0 -6.305895494788103e-05 -0.00010129944789612178 -9.667518409612642e-09
5980.0 -6.918933886005264e-05 -9.712085772083166e-05 8.168407260918803e-09
5990.0 -7.504663858159629e-05 -9.255893983694554e-05 2.597208981225136e-08
6000.0 -8.060773592505083e-05 -8.763169971314839e-05 4.3673256772190465e-08
6010.0 -8.585068178763199e-05 -8.235858471652573e-05 6.120203911475245e-08
6020.0 -9.075478278313157e-05 -7.67604073516003e-05 7.848924512074288e-08
6030.0 -9.530068291113209e-05 -7.08592631164348e-05 9.546664396406198e-08
6040.0 -9.94704399635212e-05 -6.467844329433004e-05 1.1206721969175566e-07
6050.0 -0.0001032475963300045 -5.8242343025341194e-05 1.2822544945308829e-07
6060.0 -0.00010661724396114867 -5.1576365019492045e-05 1.4387755305663835e-07
6070.0 -0.00010956608320679848 -4.4706819295287065e-05 1.5896174987444943e-07
6080.0 -0.00011208247530696069 -3.766081933694195e-05 1.7341850032516037e-07
6090.0 -0.00011415648833193153 -3.0466175078942625e-05 1.871907404296968e-07
6100.0 -0.0001157799363793355 -2.3151283143481706e-05 2.0022411096653808e-07
6110.0 -0.00011694641188709061 -1.5745014760485917e-05 2.1246716525770838e-07
6120.0 -0.00011765131091928541 -8.276601817265713e-06 2.2387158016322697e-07
6130.0 -0.00011789185133926564 -7.755214806397627e-07 2.343923383887718e-07
6140.0 -0.00011766708378934028 6.7286201445877075e-06 2.439879145494598e-07
6150.0 -0.00011697789543848008 1.4206204870658204e-05 2.526204334636758e-07
6160.0 -0.00011582700648018194 2.1627719325114205e-05 2.6025582003765327e-07
6170.0 -0.00011421895939706941 2.8963871438542326e-05 2.668639372514509e-07
6180.0 -0.00011216010103130207 3.618570605920209e-05 2.7241870187617607e-07
6190.0 -0.00010965855753431288 4.32647192334329e-05 2.768981887663188e-07
6200.0 -0.00010672420229127584 5.017297071034828e-05 2.8028471555437313e-07
6210.0 -0.00010336861695421141 5.6883194219613025e-05 2.8256491638981203e-07
6220.0 -9.960504573071024e-05 6.336890508760735e-05 2.8372978991058825e-07
6230.0 -9.544834310832337e-05 6.960450477196318e-05 2.837747386898789e-07
6240.0 -9.091491522544566e-05 7.556538189456424e-05 2.8269958498986815e-07
6250.0 -8.60226551177548e-05 8.122800938300525e-05 2.8050857306654436e-07
6260.0 -8.079087209934897e-05 8.657003732953238e-05 2.772103523903703e-07
6270.0 -7.524021554413036e-05 9.157038120138721e-05 2.72817938578359e-07
6280.0 -6.939259338999615e-05 9.62093050645591e-05 2.6734867187400927e-07
6290.0 -6.327108566746027e-05 0.0001004684994759461 2.6082413888460585e-07
6300.0 -5.689985340614763e-05 0.0001043311537495484 2.532700939853437e-07
